=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
CONV2D         24.025      [1,64,40,40]         values=[-0.752,0.2063,-0.074,-0.261,-0.297,...]
CONV2D         16.202      [1,80,40,40]         values=[0.8006,0.6779,1.0203,0.9258,0.9907,...]
CONV2D         36.514      [1,256,20,20]        values=[0.3506,-0.173,-0.343,-0.271,-0.301,...]
SIGMOID        0.093       [1,64,40,40]         values=[0.3203,0.5514,0.4815,0.4348,0.4261,...]
SIGMOID        0.163       [1,80,40,40]         values=[0.6901,0.6633,0.7350,0.7162,0.7292,...]
SIGMOID        0.079       [1,256,20,20]        values=[0.5867,0.4566,0.4150,0.4325,0.4251,...]
MULTIPLY       0.163       [1,64,40,40]         values=[-0.240,0.1137,-0.035,-0.113,-0.126,...]
MULTIPLY       0.211       [1,80,40,40]         values=[0.5525,0.4497,0.7500,0.6631,0.7224,...]
MULTIPLY       0.146       [1,256,20,20]        values=[0.2057,-0.079,-0.142,-0.117,-0.128,...]
CONV2D         6.223       [1,64,40,40]         values=[5.9044,3.1420,2.1723,0.7860,0.1374,...]
CONV2D         0.477       [1,80,40,40]         values=[1.2553,1.0320,1.0929,1.0057,1.0370,...]
SLICE          0.055       [1,128,20,20]        values=[0.2057,-0.079,-0.142,-0.117,-0.128,...]
SLICE          0.051       [1,128,20,20]        values=[0.1433,0.2263,-0.043,-0.186,-0.122,...]
SIGMOID        0.217       [1,80,40,40]         values=[0.7782,0.7373,0.7489,0.7321,0.7382,...]
CONV2D         3.134       [1,64,20,20]         values=[0.0692,0.2625,0.2143,0.2046,0.1760,...]
CONV2D         3.079       [1,64,20,20]         values=[-1.851,-1.769,-1.812,-1.960,-1.643,...]
MULTIPLY       0.180       [1,80,40,40]         values=[0.9769,0.7609,0.8185,0.7364,0.7656,...]
SIGMOID        0.030       [1,64,20,20]         values=[0.5173,0.5652,0.5533,0.5509,0.5439,...]
SIGMOID        0.029       [1,64,20,20]         values=[0.1357,0.1455,0.1403,0.1234,0.1619,...]
CONV2D         9.874       [1,80,40,40]         values=[-1.737,-2.133,-1.749,-1.368,-1.475,...]
MULTIPLY       0.032       [1,64,20,20]         values=[0.0358,0.1484,0.1186,0.1127,0.0957,...]
MULTIPLY       0.027       [1,64,20,20]         values=[-0.251,-0.257,-0.254,-0.241,-0.266,...]
SIGMOID        0.114       [1,80,40,40]         values=[0.1496,0.1058,0.1480,0.2027,0.1861,...]
CONV2D         5.797       [1,64,20,20]         values=[-1.770,0.0191,-0.437,-0.941,-0.840,...]
MULTIPLY       0.179       [1,80,40,40]         values=[-0.259,-0.225,-0.259,-0.277,-0.274,...]
SIGMOID        0.032       [1,64,20,20]         values=[0.1455,0.5047,0.3924,0.2805,0.3015,...]
CONV2D         9.984       [1,80,40,40]         values=[-12.68,-13.16,-13.61,-13.87,-13.53,...]
MULTIPLY       0.034       [1,64,20,20]         values=[-0.257,0.0096,-0.171,-0.264,-0.253,...]
CONCAT         0.157       [1,144,40,40]        values=[5.9044,3.1420,2.1723,0.7860,0.1374,...] weights=[-12.68,-13.16,-13.61,-13.87,-13.53,...]
CONV2D         5.741       [1,64,20,20]         values=[-0.048,-0.180,-0.003,0.2974,0.3922,...]
RESHAPE        0.169       [1,144,1600]         values=[5.9044,3.1420,2.1723,0.7860,0.1374,...]
SIGMOID        0.030       [1,64,20,20]         values=[0.4878,0.4549,0.4990,0.5738,0.5968,...]
MULTIPLY       0.027       [1,64,20,20]         values=[-0.023,-0.082,-0.001,0.1706,0.2340,...]
ADD            0.040       [1,64,20,20]         values=[0.0120,0.0661,0.1167,0.2834,0.3298,...]
CONV2D         5.741       [1,64,20,20]         values=[-0.514,-0.677,-0.534,-0.319,-0.273,...]
SIGMOID        0.029       [1,64,20,20]         values=[0.3741,0.3368,0.3694,0.4207,0.4320,...]
MULTIPLY       0.024       [1,64,20,20]         values=[-0.192,-0.228,-0.197,-0.134,-0.118,...]
CONV2D         8.848       [1,64,20,20]         values=[-0.175,-0.145,-0.155,-0.483,-0.176,...]
SIGMOID        0.024       [1,64,20,20]         values=[0.4561,0.4636,0.4611,0.3815,0.4559,...]
MULTIPLY       0.023       [1,64,20,20]         values=[-0.080,-0.067,-0.071,-0.184,-0.080,...]
ADD            0.035       [1,64,20,20]         values=[-0.068,-0.001,0.0449,0.0991,0.2493,...]
CONCAT         0.039       [1,128,20,20]        values=[-0.068,-0.001,0.0449,0.0991,0.2493,...] weights=[-0.251,-0.257,-0.254,-0.241,-0.266,...]
CONV2D         6.177       [1,128,20,20]        values=[0.3102,0.6184,0.2909,0.0856,0.5642,...]
SIGMOID        0.038       [1,128,20,20]        values=[0.5769,0.6499,0.5722,0.5214,0.6374,...]
MULTIPLY       0.052       [1,128,20,20]        values=[0.1789,0.4019,0.1665,0.0446,0.3596,...]
CONCAT         0.087       [1,256,20,20]        values=[0.2057,-0.079,-0.142,-0.117,-0.128,...] weights=[0.1433,0.2263,-0.043,-0.186,-0.122,...]
CONCAT         0.124       [1,384,20,20]        values=[0.2057,-0.079,-0.142,-0.117,-0.128,...] weights=[0.1789,0.4019,0.1665,0.0446,0.3596,...]
CONV2D         38.354      [1,256,20,20]        values=[-1.651,-0.792,-0.251,-0.552,-0.835,...]
SIGMOID        0.082       [1,256,20,20]        values=[0.1608,0.3117,0.4374,0.3651,0.3025,...]
MULTIPLY       0.120       [1,256,20,20]        values=[-0.265,-0.246,-0.110,-0.201,-0.252,...]
CONV2D         23.655      [1,64,20,20]         values=[-0.511,-1.221,-1.012,-1.292,-1.568,...]
CONV2D         0.381       [1,256,20,20]        values=[-0.179,-0.023,-0.094,-0.239,-0.114,...]
SIGMOID        0.043       [1,64,20,20]         values=[0.3748,0.2276,0.2665,0.2154,0.1724,...]
SIGMOID        0.116       [1,256,20,20]        values=[0.4552,0.4942,0.4763,0.4404,0.4714,...]
MULTIPLY       0.035       [1,64,20,20]         values=[-0.191,-0.278,-0.269,-0.278,-0.270,...]
MULTIPLY       0.137       [1,256,20,20]        values=[-0.081,-0.011,-0.045,-0.105,-0.053,...]
CONV2D         5.895       [1,64,20,20]         values=[1.3723,5.1175,4.5700,-0.402,1.4867,...]
CONV2D         7.642       [1,80,20,20]         values=[-0.366,-0.344,-0.064,0.1319,-0.236,...]
SIGMOID        0.029       [1,64,20,20]         values=[0.7978,0.9940,0.9897,0.4006,0.8155,...]
SIGMOID        0.024       [1,80,20,20]         values=[0.4093,0.4146,0.4839,0.5329,0.4410,...]
MULTIPLY       0.034       [1,64,20,20]         values=[1.0948,5.0870,4.5231,-0.161,1.2125,...]
MULTIPLY       0.028       [1,80,20,20]         values=[-0.150,-0.143,-0.031,0.0703,-0.104,...]
CONV2D         1.572       [1,64,20,20]         values=[5.1825,3.2660,2.3523,1.0179,0.1281,...]
CONV2D         0.164       [1,80,20,20]         values=[0.8282,0.8001,0.6630,0.5335,0.7727,...]
SIGMOID        0.049       [1,80,20,20]         values=[0.6959,0.6900,0.6600,0.6303,0.6841,...]
MULTIPLY       0.055       [1,80,20,20]         values=[0.5764,0.5521,0.4376,0.3362,0.5286,...]
CONV2D         2.484       [1,80,20,20]         values=[-0.740,-1.128,-1.356,-1.257,-1.260,...]
SIGMOID        0.031       [1,80,20,20]         values=[0.3227,0.2444,0.2048,0.2213,0.2208,...]
MULTIPLY       0.028       [1,80,20,20]         values=[-0.239,-0.275,-0.277,-0.278,-0.278,...]
CONV2D         3.658       [1,80,20,20]         values=[-11.82,-11.36,-11.06,-10.90,-11.22,...]
CONCAT         0.033       [1,144,20,20]        values=[5.1825,3.2660,2.3523,1.0179,0.1281,...] weights=[-11.82,-11.36,-11.06,-10.90,-11.22,...]
RESHAPE        0.041       [1,144,400]          values=[5.1825,3.2660,2.3523,1.0179,0.1281,...]
CONCAT         0.928       [1,144,8000]         values=[6.3889,4.0337,2.7310,1.8544,1.5388,...] weights=[5.9044,3.1420,2.1723,0.7860,0.1374,...]
CONCAT         0.951       [1,144,8400]         values=[6.3889,4.0337,2.7310,1.8544,1.5388,...] weights=[5.1825,3.2660,2.3523,1.0179,0.1281,...]
SLICE          0.391       [1,64,8400]          values=[6.3889,4.0337,2.7310,1.8544,1.5388,...]
SLICE          0.478       [1,80,8400]          values=[-12.41,-13.55,-13.34,-13.17,-12.69,...]
RESHAPE        0.386       [1,4,16,8400]        values=[6.3889,4.0337,2.7310,1.8544,1.5388,...]
SIGMOID        0.744       [1,80,8400]          values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
TRANSPOSE      1.316       [1,16,4,8400]        values=[6.3889,4.0337,2.7310,1.8544,1.5388,...]
TRANSPOSE      1.316       [1,4,8400,16]        values=[6.3889,6.3970,3.0989,1.4061,1.5822,...]
SOFTMAX        1.469       [1,4,8400,16]        values=[0.4812,0.4851,0.0179,0.0032,0.0039,...]
TRANSPOSE      1.469       [1,16,4,8400]        values=[0.4812,0.0514,0.0497,0.0412,0.0540,...]
CONV2D         2.213       [1,1,4,8400]         values=[0.6150,1.4696,2.4760,3.4503,4.5434,...]
RESHAPE        0.029       [1,4,8400]           values=[0.6150,1.4696,2.4760,3.4503,4.5434,...]
SLICE          0.010       [1,2,8400]           values=[0.6150,1.4696,2.4760,3.4503,4.5434,...]
SLICE          0.010       [1,2,8400]           values=[0.8942,2.6776,4.2487,6.8570,9.8337,...]
SUBTRACT       0.117       [1,2,8400]           values=[-0.115,0.0303,0.0239,0.0496,-0.043,...]
ADD            0.041       [1,2,8400]           values=[1.3942,4.1776,6.7487,10.357,14.333,...]
ADD            0.032       [1,2,8400]           values=[1.2792,4.2080,6.7727,10.406,14.290,...]
SUBTRACT       0.026       [1,2,8400]           values=[1.5092,4.1472,6.7247,10.307,14.377,...]
DIVIDE         0.144       [1,2,8400]           values=[0.6396,2.1040,3.3863,5.2033,7.1451,...]
CONCAT         0.024       [1,4,8400]           values=[0.6396,2.1040,3.3863,5.2033,7.1451,...] weights=[1.5092,4.1472,6.7247,10.307,14.377,...]
MULTIPLY       0.284       [1,4,8400]           values=[5.1168,16.832,27.091,41.626,57.161,...]
CONCAT         0.522       [1,84,8400]          values=[5.1168,16.832,27.091,41.626,57.161,...] weights=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
------------------------------------------------------------
Total execution time: 2423.940 ms
================================
