=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
MULTIPLY       0.036       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MAXPOOL        1.429       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MAXPOOL        1.436       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MAXPOOL        0.750       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.041       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.059       [1,384,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.087       [1,512,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.289       [1,400,512]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.052       [256,512]            values=[3,11,-6,1,-2,...]
MATMUL_ND      0.719       [1,400,256]          values=[440.50,-2164.,207.37,-7868.,-148.1,...]
ADD            0.930       [1,400,256]          values=[440.50,-42816,-24160,-8120.,-373.7,...]
RESHAPE        0.053       [1,20,20,256]        values=[440.50,-42816,-24160,-8120.,-373.7,...]
TRANSPOSE      0.290       [1,256,20,20]        values=[440.50,330.00,298.25,96.812,5.9257,...]
SIGMOID        0.110       [1,256,20,20]        values=[1.0000,1.0000,1.0000,1.0000,0.9975,...]
MULTIPLY       0.076       [1,256,20,20]        values=[440.50,330.00,298.25,96.812,5.9101,...]
IM2COL         0.569       [1,400,256]          values=[440.50,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.023       [256,256]            values=[-13,-23,-3,-21,18,...]
MATMUL_ND      0.666       [1,400,256]          values=[-11592,-10440,-19984,-4616.,2592.0,...]
ADD            0.913       [1,400,256]          values=[-11648,-10936,-22368,-4616.,2588.0,...]
RESHAPE        0.052       [1,20,20,256]        values=[-11648,-10936,-22368,-4616.,2588.0,...]
TRANSPOSE      0.559       [1,256,20,20]        values=[-11648,-11640,-11776,-11864,-11608,...]
SIGMOID        0.135       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.079       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.021       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.034       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.298       [1,400,128]          values=[-0.000,3264.0,-0.000,-0.000,-0.000,...]
RESHAPE        0.008       [256,128]            values=[7,14,4,13,-9,...]
MATMUL_ND      0.556       [1,400,256]          values=[104.18,-662.5,3746.0,-760.5,-1746.,...]
ADD            0.907       [1,400,256]          values=[-32624,-662.5,3746.0,-58560,-26464,...]
RESHAPE        0.046       [1,20,20,256]        values=[-32624,-662.5,3746.0,-58560,-26464,...]
TRANSPOSE      0.288       [1,256,20,20]        values=[-32624,-32624,-32624,-32640,-32640,...]
RESHAPE        0.040       [1,2,128,400]        values=[-32624,-32624,-32624,-32640,-32640,...]
SLICE          0.010       [1,2,32,400]         values=[-32624,-32624,-32624,-32640,-32640,...]
SLICE          0.009       [1,2,32,400]         values=[-8680.,-8680.,-8616.,-8624.,-8648.,...]
SLICE          0.021       [1,2,64,400]         values=[5240.0,5144.0,5184.0,5276.0,5320.0,...]
TRANSPOSE      0.101       [1,2,400,32]         values=[-32624,-662.5,3746.0,-58560,-26464,...]
RESHAPE        0.024       [1,128,20,20]        values=[5240.0,5144.0,5184.0,5276.0,5320.0,...]
MATMUL_ND      0.882       [1,2,400,400]        values=[nan,nan,nan,nan,nan,...]
CONV2D         0.848       [1,128,20,20]        values=[0.0794,-inf,-inf,-inf,-inf,...]
MULTIPLY       3.225       [1,2,400,400]        values=[nan,nan,nan,nan,nan,...]
SOFTMAX        0.916       [1,2,400,400]        values=[nan,nan,nan,nan,nan,...]
TRANSPOSE      1.677       [1,2,400,400]        values=[nan,nan,nan,nan,nan,...]
MATMUL_ND      0.827       [1,2,64,400]         values=[nan,nan,nan,nan,nan,...]
RESHAPE        0.019       [1,128,20,20]        values=[nan,nan,nan,nan,nan,...]
ADD            0.058       [1,128,20,20]        values=[nan,nan,nan,nan,nan,...]
IM2COL         0.272       [1,400,128]          values=[nan,nan,nan,nan,nan,...]
RESHAPE        0.003       [128,128]            values=[-12,-4,-2,-9,1,...]
MATMUL_ND      0.381       [1,400,128]          values=[nan,nan,nan,nan,nan,...]
ADD            0.468       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.019       [1,20,20,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.383       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
ADD            0.046       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         0.274       [1,400,128]          values=[-65504,-62240,-65504,-65504,-65504,...]
RESHAPE        0.007       [256,128]            values=[-6,-40,-12,-19,35,...]
MATMUL_ND      0.422       [1,400,256]          values=[3360.0,-59808,inf,22640.,-33344,...]
ADD            0.907       [1,400,256]          values=[3336.0,-59840,65504.,22576.,-33376,...]
RESHAPE        0.041       [1,20,20,256]        values=[3336.0,-59840,65504.,22576.,-33376,...]
TRANSPOSE      0.506       [1,256,20,20]        values=[3336.0,3188.0,3188.0,3240.0,3206.0,...]
SIGMOID        0.120       [1,256,20,20]        values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.076       [1,256,20,20]        values=[3336.0,3188.0,3188.0,3240.0,3206.0,...]
IM2COL         0.583       [1,400,256]          values=[3336.0,-0.000,65504.,22576.,-0.000,...]
RESHAPE        0.007       [128,256]            values=[18,-6,-24,5,3,...]
MATMUL_ND      0.749       [1,400,128]          values=[inf,-inf,-inf,inf,inf,...]
ADD            0.455       [1,400,128]          values=[65504.,-65504,-65504,65504.,65504.,...]
RESHAPE        0.019       [1,20,20,128]        values=[65504.,-65504,-65504,65504.,65504.,...]
TRANSPOSE      0.263       [1,128,20,20]        values=[65504.,65504.,65504.,65504.,65504.,...]
ADD            0.039       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
CONCAT         0.040       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
IM2COL         0.616       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,2588.0,...]
RESHAPE        0.021       [256,256]            values=[7,-25,7,21,48,...]
MATMUL_ND      0.530       [1,400,256]          values=[nan,nan,nan,nan,nan,...]
ADD            0.906       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.041       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.517       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.130       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.069       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.041       [256,20,20]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESIZE         1.544       [256,40,40]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.174       [1,256,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.252       [1,384,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,643.00,954.50,989.50,996.00,...]
IM2COL         3.010       [1,1600,384]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.017       [128,384]            values=[-51,-13,14,3,0,...]
MATMUL_ND      1.672       [1,1600,128]         values=[1356.0,792.50,-6096.,-1516.,68.062,...]
ADD            1.834       [1,1600,128]         values=[-5876.,792.50,-6096.,-1516.,60.375,...]
RESHAPE        0.097       [1,40,40,128]        values=[-5876.,792.50,-6096.,-1516.,60.375,...]
TRANSPOSE      1.041       [1,128,40,40]        values=[-5876.,-5604.,-5760.,-5760.,-5784.,...]
SIGMOID        0.225       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.131       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.050       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.044       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.228       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.003       [32,576]             values=[5,-8,24,-10,-32,...]
MATMUL_ND      1.271       [1,1600,32]          values=[-1856.,-2706.,-7272.,-1953.,-342.0,...]
ADD            0.467       [1,1600,32]          values=[-1857.,-2760.,-7272.,-40640,-342.0,...]
RESHAPE        0.017       [1,40,40,32]         values=[-1857.,-2760.,-7272.,-40640,-342.0,...]
TRANSPOSE      0.251       [1,32,40,40]         values=[-1857.,-2556.,-2242.,-2102.,-2128.,...]
SIGMOID        0.063       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.037       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.111       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.002       [64,288]             values=[0,5,13,-15,-10,...]
MATMUL_ND      1.192       [1,1600,64]          values=[-4544.,-647.5,-1575.,-2074.,-845.0,...]
ADD            0.916       [1,1600,64]          values=[-4544.,-816.0,-1574.,-65504,-845.0,...]
RESHAPE        0.037       [1,40,40,64]         values=[-4544.,-816.0,-1574.,-65504,-845.0,...]
TRANSPOSE      0.504       [1,64,40,40]         values=[-4544.,-3982.,-4312.,-4308.,-4292.,...]
SIGMOID        0.125       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.081       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.115       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.116       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.155       [1,192,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.513       [1,1600,192]         values=[-0.000,792.50,-0.000,-0.000,60.375,...]
RESHAPE        0.007       [128,192]            values=[-10,-10,-21,-6,3,...]
MATMUL_ND      1.093       [1,1600,128]         values=[-843.0,-2210.,-3064.,-2720.,-2.892,...]
ADD            1.827       [1,1600,128]         values=[-843.0,-2210.,-3286.,-65504,0.0371,...]
RESHAPE        0.073       [1,40,40,128]        values=[-843.0,-2210.,-3286.,-65504,0.0371,...]
TRANSPOSE      0.650       [1,128,40,40]        values=[-843.0,-759.0,-527.5,-676.0,-714.5,...]
SIGMOID        0.154       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.162       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.108       [128,40,40]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESIZE         1.541       [128,80,80]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.324       [1,128,80,80]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.901       [1,256,80,80]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         9.323       [1,6400,256]         values=[-0.000,-0.000,-0.000,-0.000,0.0189,...]
RESHAPE        0.006       [64,256]             values=[-19,23,13,-20,-15,...]
MATMUL_ND      2.264       [1,6400,64]          values=[-4268.,-2656.,1319.0,1010.0,-572.5,...]
ADD            3.682       [1,6400,64]          values=[-4268.,-2656.,1319.0,1010.0,-572.5,...]
RESHAPE        0.198       [1,80,80,64]         values=[-4268.,-2656.,1319.0,1010.0,-572.5,...]
TRANSPOSE      2.071       [1,64,80,80]         values=[-4268.,-4260.,-4116.,-4088.,-4026.,...]
SIGMOID        0.433       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.328       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.088       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.091       [1,32,80,80]         values=[228.75,351.25,491.50,491.50,413.50,...]
IM2COL         5.142       [1,6400,288]         values=[0.0000,0.0000,0.0000,0.0000,228.75,...]
RESHAPE        0.003       [16,288]             values=[-5,-3,1,-2,-27,...]
MATMUL_ND      2.040       [1,6400,16]          values=[-252.7,633.00,647.50,-182.1,720.50,...]
ADD            0.955       [1,6400,16]          values=[-252.7,633.00,647.50,-170.1,-9592.,...]
RESHAPE        0.040       [1,80,80,16]         values=[-252.7,633.00,647.50,-170.1,-9592.,...]
TRANSPOSE      0.494       [1,16,80,80]         values=[-252.7,-621.5,-414.5,-457.7,-503.5,...]
SIGMOID        0.119       [1,16,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.058       [1,16,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.285       [1,6400,144]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.002       [32,144]             values=[5,20,9,-24,-21,...]
MATMUL_ND      1.534       [1,6400,32]          values=[-424.5,30.703,1327.0,116.25,-2152.,...]
ADD            1.877       [1,6400,32]          values=[-431.7,30.703,1327.0,106.31,-22016,...]
RESHAPE        0.104       [1,80,80,32]         values=[-431.7,30.703,1327.0,106.31,-22016,...]
TRANSPOSE      0.988       [1,32,80,80]         values=[-431.7,880.50,672.50,662.00,632.50,...]
SIGMOID        0.229       [1,32,80,80]         values=[0.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.139       [1,32,80,80]         values=[-0.000,880.50,672.50,662.00,632.50,...]
ADD            0.160       [1,32,80,80]         values=[228.75,1232.0,1164.0,1154.0,1046.0,...]
CONCAT         0.166       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[228.75,351.25,491.50,491.50,413.50,...]
CONCAT         0.229       [1,96,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[228.75,1232.0,1164.0,1154.0,1046.0,...]
IM2COL         3.178       [1,6400,96]          values=[-0.000,-0.000,1319.0,1010.0,-0.000,...]
RESHAPE        0.002       [64,96]              values=[-4,8,3,8,3,...]
MATMUL_ND      1.887       [1,6400,64]          values=[1093.0,-166.1,1490.0,-924.5,39.843,...]
ADD            3.670       [1,6400,64]          values=[1069.0,-163.1,1493.0,-28368,46.812,...]
RESHAPE        0.190       [1,80,80,64]         values=[1069.0,-163.1,1493.0,-28368,46.812,...]
TRANSPOSE      2.150       [1,64,80,80]         values=[1069.0,1467.0,1586.0,1553.0,1579.0,...]
SIGMOID        0.439       [1,64,80,80]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.308       [1,64,80,80]         values=[1069.0,1467.0,1586.0,1553.0,1579.0,...]
IM2COL         2.997       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,1069.0,...]
RESHAPE        0.010       [64,576]             values=[14,3,-9,17,19,...]
MATMUL_ND      1.479       [1,1600,64]          values=[1331.0,502.75,-2266.,-374.2,-401.0,...]
ADD            0.933       [1,1600,64]          values=[1331.0,-65504,-2266.,-380.2,-58816,...]
RESHAPE        0.039       [1,40,40,64]         values=[1331.0,-65504,-2266.,-380.2,-58816,...]
TRANSPOSE      0.512       [1,64,40,40]         values=[1331.0,455.00,612.50,647.00,618.50,...]
IM2COL         9.812       [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,1069.0,...]
RESHAPE        0.013       [64,576]             values=[0,-7,-4,7,17,...]
MATMUL_ND      5.954       [1,6400,64]          values=[-1549.,-314.0,-2272.,-1142.,-710.0,...]
ADD            3.681       [1,6400,64]          values=[-1549.,-314.0,-2272.,-1142.,-710.0,...]
RESHAPE        0.177       [1,80,80,64]         values=[-1549.,-314.0,-2272.,-1142.,-710.0,...]
TRANSPOSE      2.045       [1,64,80,80]         values=[-1549.,-877.0,-825.5,-811.5,-820.5,...]
CONV2D         3.334       [1,64,80,80]         values=[7.1679,7.2578,7.2656,7.2734,7.2734,...]
SIGMOID        0.133       [1,64,40,40]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
SIGMOID        0.446       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.223       [1,64,80,80]         values=[0.9990,0.9995,0.9995,0.9995,0.9995,...]
MULTIPLY       0.087       [1,64,40,40]         values=[1331.0,455.00,612.50,647.00,618.50,...]
MULTIPLY       0.368       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.362       [1,64,80,80]         values=[7.1601,7.2539,7.2617,7.2695,7.2695,...]
CONCAT         0.143       [1,192,40,40]        values=[1331.0,455.00,612.50,647.00,618.50,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         9.225       [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.018       [64,576]             values=[1,1,0,0,1,...]
MATMUL_ND      4.704       [1,6400,64]          values=[-928.0,-2796.,-3676.,1936.0,953.00,...]
ADD            3.844       [1,6400,64]          values=[-926.5,-2796.,-3676.,3400.0,787.00,...]
RESHAPE        0.221       [1,80,80,64]         values=[-926.5,-2796.,-3676.,3400.0,787.00,...]
TRANSPOSE      1.251       [1,64,80,80]         values=[-926.5,1221.0,-852.5,1520.0,1422.0,...]
IM2COL         2.301       [1,6400,64]          values=[7.1601,-0.000,-nan,6.3320,-nan,...]
RESHAPE        0.002       [80,64]              values=[2,4,-2,4,4,...]
MATMUL_ND      1.910       [1,6400,80]          values=[nan,nan,nan,nan,nan,...]
ADD            4.594       [1,6400,80]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.243       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.407       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         1.507       [1,1600,192]         values=[1331.0,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.007       [128,192]            values=[11,-2,5,19,59,...]
MATMUL_ND      0.826       [1,1600,128]         values=[804.00,-362.2,1822.0,1441.0,-223.1,...]
ADD            1.826       [1,1600,128]         values=[804.00,-362.2,1822.0,-29808,-250.2,...]
RESHAPE        0.080       [1,40,40,128]        values=[804.00,-362.2,1822.0,-29808,-250.2,...]
TRANSPOSE      0.568       [1,128,40,40]        values=[804.00,600.00,608.50,684.50,653.50,...]
SIGMOID        0.268       [1,64,80,80]         values=[0.0000,1.0000,0.0000,1.0000,1.0000,...]
SIGMOID        0.389       [1,80,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.188       [1,128,40,40]        values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.567       [1,64,80,80]         values=[-0.000,1221.0,-0.000,1520.0,1422.0,...]
MULTIPLY       0.450       [1,80,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.180       [1,128,40,40]        values=[804.00,600.00,608.50,684.50,653.50,...]
IM2COL         2.341       [1,6400,64]          values=[-0.000,-0.000,-0.000,3400.0,787.00,...]
RESHAPE        0.002       [64,64]              values=[-29,8,8,11,-6,...]
MATMUL_ND      1.932       [1,6400,64]          values=[-104.3,28.765,186.37,178.37,136.37,...]
ADD            3.683       [1,6400,64]          values=[30384.,266.75,199.12,181.50,136.37,...]
RESHAPE        0.165       [1,80,80,64]         values=[30384.,266.75,199.12,181.50,136.37,...]
TRANSPOSE      2.051       [1,64,80,80]         values=[30384.,29744.,28928.,28800.,28928.,...]
CONV2D         4.209       [1,80,80,80]         values=[9.9453,9.9453,9.9453,9.9453,9.9453,...]
SLICE          0.059       [1,64,40,40]         values=[804.00,600.00,608.50,684.50,653.50,...]
SLICE          0.056       [1,64,40,40]         values=[-0.000,275.25,341.75,339.50,365.50,...]
SIGMOID        0.308       [1,80,80,80]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
IM2COL         2.263       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.006       [32,576]             values=[3,-2,0,6,3,...]
MATMUL_ND      1.105       [1,1600,32]          values=[313.50,84.937,-394.2,295.75,-279.0,...]
ADD            0.469       [1,1600,32]          values=[1064.0,-231.5,-394.2,405.25,-279.0,...]
RESHAPE        0.019       [1,40,40,32]         values=[1064.0,-231.5,-394.2,405.25,-279.0,...]
TRANSPOSE      0.169       [1,32,40,40]         values=[1064.0,841.00,815.50,833.50,813.00,...]
MULTIPLY       0.594       [1,80,80,80]         values=[9.9453,9.9453,9.9453,9.9453,9.9453,...]
SIGMOID        0.071       [1,32,40,40]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
IM2COL         2.834       [1,6400,80]          values=[9.9453,-nan,0.5283,-nan,-nan,...]
RESHAPE        0.003       [80,80]              values=[-1,11,0,30,11,...]
MATMUL_ND      2.201       [1,6400,80]          values=[nan,nan,nan,nan,nan,...]
ADD            4.588       [1,6400,80]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.229       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      2.608       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
MULTIPLY       0.056       [1,32,40,40]         values=[1064.0,841.00,815.50,833.50,813.00,...]
SIGMOID        0.540       [1,80,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
IM2COL         1.117       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,1064.0,...]
RESHAPE        0.003       [64,288]             values=[-2,-4,12,1,-1,...]
MATMUL_ND      0.974       [1,1600,64]          values=[-948.0,-487.5,-368.2,-532.0,-498.5,...]
ADD            0.916       [1,1600,64]          values=[-1485.,-642.5,-31552,-532.0,-498.5,...]
RESHAPE        0.038       [1,40,40,64]         values=[-1485.,-642.5,-31552,-532.0,-498.5,...]
TRANSPOSE      0.508       [1,64,40,40]         values=[-1485.,-1726.,-1710.,-1814.,-1878.,...]
MULTIPLY       0.440       [1,80,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SIGMOID        0.123       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
IM2COL         2.721       [1,6400,80]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.002       [80,80]              values=[12,-50,4,27,-2,...]
MATMUL_ND      2.118       [1,6400,80]          values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
ADD            4.656       [1,6400,80]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.208       [1,80,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
TRANSPOSE      2.586       [1,80,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.111       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.400       [1,144,80,80]        values=[30384.,29744.,28928.,28800.,28928.,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.092       [1,64,40,40]         values=[-0.000,275.25,341.75,339.50,365.50,...]
RESHAPE        0.345       [1,144,6400]         values=[30384.,29744.,28928.,28800.,28928.,...]
CONCAT         0.078       [1,128,40,40]        values=[804.00,600.00,608.50,684.50,653.50,...] weights=[-0.000,275.25,341.75,339.50,365.50,...]
CONCAT         0.128       [1,192,40,40]        values=[804.00,600.00,608.50,684.50,653.50,...] weights=[-0.000,275.25,341.75,339.50,365.50,...]
IM2COL         1.468       [1,1600,192]         values=[804.00,-0.000,1822.0,-0.000,-0.000,...]
RESHAPE        0.005       [128,192]            values=[4,3,-5,-4,7,...]
MATMUL_ND      1.114       [1,1600,128]         values=[-241.1,-377.0,-549.5,632.50,245.12,...]
ADD            1.874       [1,1600,128]         values=[-240.2,-377.0,-865.5,-11520,-2874.,...]
RESHAPE        0.092       [1,40,40,128]        values=[-240.2,-377.0,-865.5,-11520,-2874.,...]
TRANSPOSE      1.040       [1,128,40,40]        values=[-240.2,-893.0,-1024.,-1269.,-1232.,...]
SIGMOID        0.224       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.164       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.158       [1,400,1152]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.035       [128,1152]           values=[1,-8,3,-11,-16,...]
MATMUL_ND      1.375       [1,400,128]          values=[-253.3,174.00,391.50,410.25,540.00,...]
ADD            0.456       [1,400,128]          values=[-65376,-5896.,-46.50,378.50,38.000,...]
RESHAPE        0.018       [1,20,20,128]        values=[-65376,-5896.,-46.50,378.50,38.000,...]
TRANSPOSE      0.264       [1,128,20,20]        values=[-65376,-65408,-65376,-65408,-65376,...]
IM2COL         4.481       [1,1600,1152]        values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.040       [64,1152]            values=[1,6,0,-2,-4,...]
MATMUL_ND      2.966       [1,1600,64]          values=[-491.2,-7.492,283.00,23.125,278.75,...]
ADD            0.918       [1,1600,64]          values=[-491.2,-7.492,283.00,59776.,-723.0,...]
RESHAPE        0.039       [1,40,40,64]         values=[-491.2,-7.492,283.00,59776.,-723.0,...]
TRANSPOSE      0.500       [1,64,40,40]         values=[-491.2,-10.42,-483.2,-387.7,-466.5,...]
CONV2D         2.687       [1,128,40,40]        values=[-nan,-nan,-nan,-nan,-nan,...]
SIGMOID        0.075       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.157       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.142       [1,128,40,40]        values=[nan,nan,nan,nan,nan,...]
MULTIPLY       0.051       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.092       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.161       [1,128,40,40]        values=[-nan,-nan,-nan,-nan,-nan,...]
CONCAT         0.083       [1,384,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.219       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.008       [64,576]             values=[0,1,1,2,-1,...]
MATMUL_ND      1.246       [1,1600,64]          values=[-5988.,-51360,-45024,-1297.,-83.18,...]
ADD            0.919       [1,1600,64]          values=[-5984.,-52448,-45024,-1429.,-82.93,...]
RESHAPE        0.039       [1,40,40,64]         values=[-5984.,-52448,-45024,-1429.,-82.93,...]
