=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
MULTIPLY       0.038       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MAXPOOL        1.434       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MAXPOOL        1.443       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MAXPOOL        0.747       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.037       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.063       [1,384,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.085       [1,512,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.210       [1,400,512]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.118       [256,512]            values=[0.0421,0.1681,-0.090,0.0093,-0.022,...]
MATMUL_ND      2.767       [1,400,256]          values=[-nan,-nan,-nan,-nan,-nan,...]
ADD            0.905       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.046       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.538       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.101       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.063       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.583       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.077       [256,256]            values=[-0.358,-0.619,-0.072,-0.574,0.4707,...]
MATMUL_ND      1.569       [1,400,256]          values=[nan,nan,-nan,-nan,-nan,...]
ADD            0.904       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.047       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.511       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.116       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.076       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.024       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.020       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.296       [1,400,128]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.033       [256,128]            values=[0.0625,0.1298,0.0324,0.1176,-0.077,...]
MATMUL_ND      0.966       [1,400,256]          values=[nan,nan,-nan,nan,nan,...]
ADD            0.901       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.047       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.518       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.040       [1,2,128,400]        values=[-65504,-65504,-65504,-65504,-65504,...]
SLICE          0.010       [1,2,32,400]         values=[-65504,-65504,-65504,-65504,-65504,...]
SLICE          0.010       [1,2,32,400]         values=[-65504,-65504,-65504,-65504,-65504,...]
SLICE          0.023       [1,2,64,400]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.140       [1,2,400,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.023       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
MATMUL_ND      0.899       [1,2,400,400]        values=[inf,inf,inf,inf,inf,...]
CONV2D         0.839       [1,128,20,20]        values=[inf,-inf,-inf,-inf,-inf,...]
MULTIPLY       3.213       [1,2,400,400]        values=[inf,inf,inf,inf,inf,...]
SOFTMAX        0.903       [1,2,400,400]        values=[nan,nan,nan,nan,nan,...]
TRANSPOSE      0.818       [1,2,400,400]        values=[nan,nan,nan,nan,nan,...]
MATMUL_ND      0.823       [1,2,64,400]         values=[nan,nan,nan,nan,nan,...]
RESHAPE        0.018       [1,128,20,20]        values=[nan,nan,nan,nan,nan,...]
ADD            0.062       [1,128,20,20]        values=[nan,nan,nan,nan,nan,...]
IM2COL         0.272       [1,400,128]          values=[nan,nan,nan,nan,nan,...]
RESHAPE        0.020       [128,128]            values=[-0.141,-0.046,-0.018,-0.104,0.0086,...]
MATMUL_ND      0.479       [1,400,128]          values=[nan,nan,nan,nan,nan,...]
ADD            0.453       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.026       [1,20,20,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.152       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
ADD            0.051       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         0.275       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.040       [256,128]            values=[-0.025,-0.172,-0.051,-0.083,0.1498,...]
MATMUL_ND      0.953       [1,400,256]          values=[nan,nan,-nan,nan,nan,...]
ADD            0.901       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.051       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.518       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.115       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.086       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         0.580       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.037       [128,256]            values=[0.3368,-0.114,-0.464,0.0958,0.0603,...]
MATMUL_ND      0.766       [1,400,128]          values=[nan,-nan,-nan,-nan,-nan,...]
ADD            0.453       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.025       [1,20,20,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.260       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
ADD            0.038       [1,128,20,20]        values=[-inf,-inf,-inf,-inf,-inf,...]
CONCAT         0.047       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-inf,-inf,-inf,-inf,-inf,...]
IM2COL         0.600       [1,400,256]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.075       [256,256]            values=[0.0260,-0.094,0.0274,0.0796,0.1808,...]
MATMUL_ND      1.529       [1,400,256]          values=[nan,nan,-nan,nan,nan,...]
ADD            0.909       [1,400,256]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.047       [1,20,20,256]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.514       [1,256,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.116       [1,256,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.074       [1,256,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.043       [256,20,20]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESIZE         1.536       [256,40,40]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.173       [1,256,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.259       [1,384,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         3.254       [1,1600,384]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.054       [128,384]            values=[-0.348,-0.087,0.0966,0.0205,-0.002,...]
MATMUL_ND      4.268       [1,1600,128]         values=[nan,nan,-nan,nan,nan,...]
ADD            1.817       [1,1600,128]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.087       [1,40,40,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.017       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.221       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.146       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.055       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.047       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.230       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.017       [32,576]             values=[0.0256,-0.046,0.1356,-0.056,-0.179,...]
MATMUL_ND      1.588       [1,1600,32]          values=[nan,nan,-nan,-nan,nan,...]
ADD            0.464       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.020       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.256       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.062       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.029       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.123       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.017       [64,288]             values=[0.0027,0.0496,0.1208,-0.139,-0.092,...]
MATMUL_ND      1.753       [1,1600,64]          values=[-nan,-nan,-nan,nan,nan,...]
ADD            0.912       [1,1600,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.043       [1,40,40,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.500       [1,64,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.114       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.064       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.088       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.104       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.136       [1,192,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.492       [1,1600,192]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.028       [128,192]            values=[-0.125,-0.118,-0.257,-0.075,0.0426,...]
MATMUL_ND      2.473       [1,1600,128]         values=[-nan,nan,nan,nan,nan,...]
ADD            1.816       [1,1600,128]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.097       [1,40,40,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.014       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.218       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.134       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.109       [128,40,40]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESIZE         2.194       [128,80,80]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.316       [1,128,80,80]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.577       [1,256,80,80]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[353.75,353.75,353.75,353.75,353.75,...]
IM2COL         9.347       [1,6400,256]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.019       [64,256]             values=[-0.166,0.2063,0.1137,-0.175,-0.133,...]
MATMUL_ND      6.314       [1,6400,64]          values=[nan,nan,-nan,-nan,nan,...]
ADD            3.672       [1,6400,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.143       [1,80,80,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      2.014       [1,64,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.424       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.286       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.088       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.082       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         5.056       [1,6400,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.007       [16,288]             values=[-0.054,-0.034,0.0086,-0.021,-0.278,...]
MATMUL_ND      1.889       [1,6400,16]          values=[nan,-nan,-nan,nan,nan,...]
ADD            1.011       [1,6400,16]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.032       [1,80,80,16]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.497       [1,16,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.116       [1,16,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.054       [1,16,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.292       [1,6400,144]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.006       [32,144]             values=[0.0553,0.2312,0.0992,-0.270,-0.242,...]
MATMUL_ND      2.089       [1,6400,32]          values=[nan,-nan,-nan,nan,-nan,...]
ADD            1.865       [1,6400,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.058       [1,80,80,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.975       [1,32,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.218       [1,32,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.152       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
ADD            0.186       [1,32,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.225       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.236       [1,96,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         3.410       [1,6400,96]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.007       [64,96]              values=[-0.039,0.0852,0.0364,0.0881,0.0342,...]
MATMUL_ND      3.301       [1,6400,64]          values=[nan,nan,-nan,nan,-nan,...]
ADD            3.652       [1,6400,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.152       [1,80,80,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      2.007       [1,64,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.426       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.321       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.861       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.048       [64,576]             values=[0.0741,0.0166,-0.049,0.0917,0.1030,...]
MATMUL_ND      3.069       [1,1600,64]          values=[-nan,-nan,nan,nan,nan,...]
ADD            0.915       [1,1600,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.034       [1,40,40,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.498       [1,64,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         9.086       [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.060       [64,576]             values=[-0.002,-0.066,-0.037,0.0681,0.1591,...]
MATMUL_ND      12.237      [1,6400,64]          values=[nan,nan,-nan,-nan,nan,...]
ADD            3.670       [1,6400,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.140       [1,80,80,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.963       [1,64,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
CONV2D         6.719       [1,64,80,80]         values=[-1812.,-1812.,-1812.,-1812.,-1812.,...]
SIGMOID        0.124       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.430       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.422       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.081       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.359       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.380       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.132       [1,192,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         9.921       [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.048       [64,576]             values=[0.0606,0.0331,0.0197,0.0178,0.0412,...]
MATMUL_ND      12.218      [1,6400,64]          values=[nan,nan,-nan,-nan,-nan,...]
ADD            3.674       [1,6400,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.149       [1,80,80,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.980       [1,64,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         2.297       [1,6400,64]          values=[-0.000,1.3095,0.0000,1.7871,-0.271,...]
RESHAPE        0.006       [80,64]              values=[0.0433,0.0889,-0.049,0.0808,0.0957,...]
MATMUL_ND      3.412       [1,6400,80]          values=[nan,nan,nan,nan,nan,...]
ADD            4.556       [1,6400,80]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.199       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      2.558       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         1.513       [1,1600,192]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.030       [128,192]            values=[0.1319,-0.028,0.0577,0.2198,0.6850,...]
MATMUL_ND      2.506       [1,1600,128]         values=[-nan,nan,-nan,nan,nan,...]
ADD            1.809       [1,1600,128]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.093       [1,40,40,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.030       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.430       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.584       [1,80,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.221       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.364       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.475       [1,80,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.157       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.311       [1,6400,64]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.005       [64,64]              values=[-0.068,0.0194,0.0196,0.0269,-0.013,...]
MATMUL_ND      2.739       [1,6400,64]          values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
ADD            3.653       [1,6400,64]          values=[0.0000,2.0214,0.0000,2.0332,-2.000,...]
RESHAPE        0.153       [1,80,80,64]         values=[0.0000,2.0214,0.0000,2.0332,-2.000,...]
TRANSPOSE      2.029       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
CONV2D         7.423       [1,80,80,80]         values=[9.2656,9.2656,9.2656,9.2656,9.2656,...]
SLICE          0.052       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SLICE          0.045       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SIGMOID        0.395       [1,80,80,80]         values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
IM2COL         2.258       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.029       [32,576]             values=[0.0374,-0.022,0.0071,0.0918,0.0469,...]
MATMUL_ND      1.677       [1,1600,32]          values=[nan,nan,nan,nan,-nan,...]
ADD            0.659       [1,1600,32]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.019       [1,40,40,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.154       [1,32,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
MULTIPLY       0.471       [1,80,80,80]         values=[9.2656,9.2656,9.2656,9.2656,9.2656,...]
SIGMOID        0.044       [1,32,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
IM2COL         2.836       [1,6400,80]          values=[9.2656,-0.269,0.1711,1.7666,74.500,...]
RESHAPE        0.007       [80,80]              values=[-0.042,0.6736,-0.030,1.8088,0.6350,...]
MATMUL_ND      3.730       [1,6400,80]          values=[-nan,nan,nan,nan,nan,...]
ADD            5.574       [1,6400,80]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.191       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.341       [1,80,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
MULTIPLY       0.050       [1,32,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SIGMOID        0.318       [1,80,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
IM2COL         1.134       [1,1600,288]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.018       [64,288]             values=[-0.033,-0.061,0.1685,0.0181,-0.013,...]
MATMUL_ND      1.698       [1,1600,64]          values=[nan,-nan,nan,nan,-nan,...]
ADD            1.282       [1,1600,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.038       [1,40,40,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.285       [1,64,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
MULTIPLY       0.454       [1,80,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
SIGMOID        0.074       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
IM2COL         2.845       [1,6400,80]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.007       [80,80]              values=[0.0232,-0.099,0.0070,0.0534,-0.003,...]
MATMUL_ND      3.730       [1,6400,80]          values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
ADD            4.547       [1,6400,80]          values=[2.0000,-2.431,-2.000,-2.611,-512.0,...]
RESHAPE        0.179       [1,80,80,80]         values=[2.0000,-2.431,-2.000,-2.611,-512.0,...]
TRANSPOSE      1.380       [1,80,80,80]         values=[2.0000,2.0000,2.0000,2.0000,2.0000,...]
MULTIPLY       0.096       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.375       [1,144,80,80]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...] weights=[2.0000,2.0000,2.0000,2.0000,2.0000,...]
ADD            0.092       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.334       [1,144,6400]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
CONCAT         0.076       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.128       [1,192,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.466       [1,1600,192]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.026       [128,192]            values=[0.0456,0.0374,-0.063,-0.054,0.0847,...]
MATMUL_ND      2.480       [1,1600,128]         values=[-nan,nan,-nan,nan,-nan,...]
ADD            1.810       [1,1600,128]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.085       [1,40,40,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.537       [1,128,40,40]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.158       [1,128,40,40]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.155       [1,128,40,40]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.148       [1,400,1152]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.149       [128,1152]           values=[0.0037,-0.039,0.0124,-0.052,-0.081,...]
MATMUL_ND      2.730       [1,400,128]          values=[nan,-nan,nan,nan,nan,...]
ADD            0.454       [1,400,128]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.019       [1,20,20,128]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.156       [1,128,20,20]        values=[-65504,-65504,-65504,-65504,-65504,...]
IM2COL         4.392       [1,1600,1152]        values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.066       [64,1152]            values=[0.0275,0.1131,-0.003,-0.038,-0.086,...]
MATMUL_ND      5.569       [1,1600,64]          values=[-nan,nan,-nan,-nan,nan,...]
ADD            0.916       [1,1600,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.035       [1,40,40,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.515       [1,64,40,40]         values=[-65504,-65504,-65504,-65504,-65504,...]
CONV2D         1.667       [1,128,40,40]        values=[144.25,144.25,144.25,144.25,144.25,...]
SIGMOID        0.075       [1,128,20,20]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.068       [1,64,40,40]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
SIGMOID        0.153       [1,128,40,40]        values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.035       [1,128,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.090       [1,64,40,40]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
MULTIPLY       0.185       [1,128,40,40]        values=[144.25,144.25,144.25,144.25,144.25,...]
CONCAT         0.064       [1,384,20,20]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...] weights=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.329       [1,1600,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.053       [64,576]             values=[-0.005,0.0494,0.0336,0.0534,-0.028,...]
MATMUL_ND      3.010       [1,1600,64]          values=[nan,-nan,-nan,-nan,-nan,...]
